Referencia,Fabricante,Categoria,Descripcion,URL,Impedancia,Atenuación,Rango de frecuencia,Potencia,Conector 1,Conector 2,VSWR,Montaje,RoHS,Precisión,Temperatura de trabajo,Número de vías,Pérdida de inserción,Aislamiento,Acoplamiento,Directividad,Tipo de filtro,Banda de paso,Rechazo,Valor,Tolerancia,Encapsulado,Tensión nominal,Capacidad,Dieléctrico
AT-1SM-2W-18,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 1 dB, SMA macho/SMA hembra, DC-18 GHz",https://catalogo.example/producto/at-1sm-2w-18,50 Ohm,1 dB,DC - 18 GHz,2 W,SMA macho,SMA hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-2SM-2W-18,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 2 dB, SMA macho/SMA hembra, DC-18 GHz",https://catalogo.example/producto/at-2sm-2w-18,50 Ohm,2 dB,DC - 18 GHz,2 W,SMA macho,SMA hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-3SM-2W-18,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 3 dB, SMA macho/SMA hembra, DC-18 GHz",https://catalogo.example/producto/at-3sm-2w-18,50 Ohm,3 dB,DC - 18 GHz,2 W,SMA macho,SMA hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-6SM-2W-18,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 6 dB, SMA macho/SMA hembra, DC-18 GHz",https://catalogo.example/producto/at-6sm-2w-18,50 Ohm,6 dB,DC - 18 GHz,2 W,SMA macho,SMA hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-10SM-2W-18,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 10 dB, SMA macho/SMA hembra, DC-18 GHz",https://catalogo.example/producto/at-10sm-2w-18,50 Ohm,10 dB,DC - 18 GHz,2 W,SMA macho,SMA hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-20SM-2W-18,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 20 dB, SMA macho/SMA hembra, DC-18 GHz",https://catalogo.example/producto/at-20sm-2w-18,50 Ohm,20 dB,DC - 18 GHz,2 W,SMA macho,SMA hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-30SM-2W-18,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 30 dB, SMA macho/SMA hembra, DC-18 GHz",https://catalogo.example/producto/at-30sm-2w-18,50 Ohm,30 dB,DC - 18 GHz,2 W,SMA macho,SMA hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-3SM-5W-6,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 3 dB, SMA macho/SMA hembra, DC-6 GHz",https://catalogo.example/producto/at-3sm-5w-6,50 Ohm,3 dB,DC - 6 GHz,5 W,SMA macho,SMA hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-10SM-5W-6,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 10 dB, SMA macho/SMA hembra, DC-6 GHz",https://catalogo.example/producto/at-10sm-5w-6,50 Ohm,10 dB,DC - 6 GHz,5 W,SMA macho,SMA hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-20SM-5W-6,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 20 dB, SMA macho/SMA hembra, DC-6 GHz",https://catalogo.example/producto/at-20sm-5w-6,50 Ohm,20 dB,DC - 6 GHz,5 W,SMA macho,SMA hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
